UID_01,VARIANT_FLAG,STUDCOUNT,OTHSTUDCOUNT,BIOCHEMICAL_NAME_IMS,HMDB_BIOCHEMICAL_NAME,METABOLON_BIOCHEMICAL_NAME,BIOCHEMICAL_NAME1,BIOCHEMICAL_NAME2,BIOCHEMICAL_NAME3,BIOCHEMICAL_NAME4,BIOCHEMICAL_NAME5,BIOCHEMICAL_NAME6,BIOCHEMICAL_NAME7,BIOCHEMICAL_NAME8,BIOCHEMICAL_NAME9,BIOCHEMICAL_NAME10,BIOCHEMICAL_NAME11,BIOCHEMICAL_NAME12,BIOCHEMICAL_NAME13,BIOCHEMICAL_NAME14,BIOCHEMICAL_NAME15,BIOCHEMICAL_NAME16,BIOCHEMICAL_NAME17,BIOCHEMICAL_NAME18,BIOCHEMICAL_NAME19,BIOCHEMICAL_NAME20,BIOCHEMICAL_NAME21,BIOCHEMICAL_NAME22,BIOCHEMICAL_NAME23,BIOCHEMICAL_NAME24,BIOCHEMICAL_NAME25,BIOCHEMICAL_NAME26,BIOCHEMICAL_NAME27,BIOCHEMICAL_NAME28,BIOCHEMICAL_NAME29,BIOCHEMICAL_NAME30,BIOCHEMICAL_NAME31,BIOCHEMICAL_NAME32,BIOCHEMICAL_NAME33,CHEMICAL_ID1,CHEMICAL_ID2,COMP_ID1,COMP_ID2,COMP_ID3,COMP_ID4,COMP_ID5,COMP_ID6,COMP_ID7,COMP_ID8,COMP_ID9,COMP_ID10,COMP_ID11,COMP_ID12,COMP_ID13,COMP_ID14,COMP_ID15,COMP_ID16,COMP_ID17,COMP_ID18,COMP_ID19,COMP_ID20,COMP_ID21,COMP_ID22,COMP_ID23,COMP_ID24,COMP_ID25,COMP_ID26,COMP_ID27,COMP_ID28,COMP_ID29,COMP_ID30,COMP_ID31,COMP_ID32,COMP_ID33,COMP_ID34,COMP_ID35,COMP_ID36,PUBCHEM1,PUBCHEM2,PUBCHEM3,PUBCHEM4,PUBCHEM5,HMDB_ID1,HMDB_ID2,HMDB_ID3,NCI_METABOLON_NAME1,NCI_METABOLON_NAME2,NCI_METABOLON_NAME3,NCI_METABOLON_NAME4,NCI_METABOLON_NAME5,NCI_METABOLON_NAME6,NCI_METABOLON_NAME7,NCI_METABOLON_NAME8,NCI_METABOLON_NAME9,NCI_METABOLON_NAME10,NCI_METABOLON_NAME11,NCI_METABOLON_NAME12,NCI_METABOLON_NAME13,NCI_METABOLON_NAME14,NCI_METABOLON_NAME15,NCI_METABOLON_NAME16,NCI_METABOLON_NAME17,NCI_METABOLON_NAME18,NCI_METABOLON_NAME19,NCI_METABOLON_NAME20,NCI_METABOLON_NAME21,NCI_METABOLON_NAME22,NCI_METABOLON_NAME23,NCI_METABOLON_NAME24,NCI_METABOLON_NAME25,NCI_METABOLON_NAME26,NCI_METABOLON_NAME27,NCI_METABOLON_NAME28,CAS1,CAS2,CAS3,CAS4,CAS5,INCHI1,INCHI2,INCHIKEY1,INCHIKEY2,CHEBI1,CHEBI2,CHEMSPIDER1,CHEMSPIDER2,CHEMSPIDER3,KEGG1,KEGG2,KEGG3,KEGG4,SUPER_PATHWAY1,SUPER_PATHWAY2,SUPER_PATHWAY3,SUPER_PATHWAY4,SUPER_PATHWAY5,SUB_PATHWAY1,SUB_PATHWAY2,SUB_PATHWAY3,SUB_PATHWAY4,SUB_PATHWAY5,SUB_PATHWAY6,SUB_PATHWAY7,HMDB_CLASS,HMDB_PARENT,HMDB_KINGDOM,HMDB_SUB_CLASS,HMDB_SUPER_CLASS,HMDB_CLASS2,HMDB_PARENT2,HMDB_SUB_CLASS2,HMDB_SUPER_CLASS2,HMDB_BIOCHEMICAL_NAME2,REFMET_NAME,MAIN_CLASS,SUB_CLASS,PRIMARY_CLASS_COMB,SECONDARY_CLASS_COMB,ABC_BROAD_NAME,ARIC_BATCH1_METABOLON_NAME,ARIC_BATCH2_METABOLON_NAME1,ARIC_BATCH2_METABOLON_NAME2,ARIC_BATCH2_METABOLON_NAME3,ARIC_BATCH2_METABOLON_NAME4,CAMP_BIONAME,CAMP_NAME,FENLAND_BIOCRATES_NAME,FENLAND_METABOLON_NAME1,FENLAND_METABOLON_NAME2,FENLAND_METABOLON_NAME3,PLCO_RCC_BROAD_NAME,SHANGHAI_BRAINSHAKE_NAME,SHANGHAI_CHD_METABOLON_NAME,TWINSUK_BIONAME_V3,TWINSUK_BIONAME_V41,TWINSUK_BIONAME_V42,TWINSUK_NAME_V3,TWINSUK_NAME_V41,TWINSUK_NAME_V42,TWINSUK_NAME_V43,VDAART_BIONAME,VDAART_NAME,BRAINSHAKE_NAME,UCLEB_NMR_NAME,HCI_WCMC_NAME,COMMENTS,PLCO_NAME,CPS2M_NAME,BAEPENDI_NAME,CPS2F_NAME,ATBC1_NAME,ATBC2_NAME,ATBC3_NAME,SPA1_NAME,SPA2_NAME,SBR_NAME,HABC_NAME,WHISERUM_NAME,MROS_NAME,BWHHS_NAME,DPP_NAME,COLO_NAME,COPSA_NAME,WIHS_NAME,TWINSUK_NAME,WELL_NAME,CORSA_NAME,ALSPAC_NAME,BIBMOTHER_NAME,BIB_NAME,SABRE_NAME,TWINS_BIOC_NAME,TWINS_BSHK_NAME,TWINSV4_NAME,AIRWAVE_NAME,SMHS_NAME,GENECARD_NAME,ATBC_APR13_NAME,ATBC_DEC13_NAME,ATBC_SEP14_NAME,ARIC_NAME,EPIC_BMRI_NAME,EPIC_LIVER_NAME,EPIC_KIDNEY_NAME,EPIC_BREAST_NAME,EPIC_COLORECT_NAME,EPIC_PROST_NAME,NSHDS_NAME,WOMIN_NAME,WHI2_NAME,ESTONIA_NAME,NHS2_NAME,NHS1_NAME,TMCS_NAME,VDAART_AGE1_NAME,WHI_NAME,CAPS_NAME,CAMP1_NAME,VDAART_HARMFLG,PLCO_HARMFLG,CPS2M_HARMFLG,BAEPENDI_HARMFLG,CPS2F_HARMFLG,ATBC1_HARMFLG,ATBC2_HARMFLG,ATBC3_HARMFLG,SPA1_HARMFLG,SPA2_HARMFLG,SBR_HARMFLG,HABC_HARMFLG,MROS_HARMFLG,BWHHS_HARMFLG,DPP_HARMFLG,COLO_HARMFLG,COPSA_HARMFLG,WIHS_HARMFLG,TWINSUK_HARMFLG,WELL_HARMFLG,CORSA_HARMFLG,ALSPAC_HARMFLG,BIBMOTHER_HARMFLG,BIB_HARMFLG,SABRE_HARMFLG,TWINS_BIOC_HARMFLG,TWINS_BSHK_HARMFLG,TWINSV4_HARMFLG,AIRWAVE_HARMFLG,SMHS_HARMFLG,GENECARD_HARMFLG,ATBC_APR13_HARMFLG,ATBC_DEC13_HARMFLG,ATBC_SEP14_HARMFLG,ARIC_HARMFLG,EPIC_BMRI_HARMFLG,EPIC_LIVER_HARMFLG,EPIC_KIDNEY_HARMFLG,EPIC_BREAST_HARMFLG,NSHDS_HARMFLG,WOMIN_HARMFLG,WHI2_HARMFLG,ESTONIA_HARMFLG,NHS2_HARMFLG,NHS1_HARMFLG,TMCS_HARMFLG,VDAART_AGE1_HARMFLG,WHI_HARMFLG,CAPS_HARMFLG,CAMP1_HARMFLG,ABC_BROAD_HARMFLG,ARIC_BATCH1_METABOLON_HARMFLG,ARIC_BATCH2_METABOLON_HARMFLG1,ARIC_BATCH2_METABOLON_HARMFLG2,ARIC_BATCH2_METABOLON_HARMFLG3,ARIC_BATCH2_METABOLON_HARMFLG4,CAMP_HARMFLG,FENLAND_BIOCRATES_HARMFLG,FENLAND_METABOLON_HARMFLG1,FENLAND_METABOLON_HARMFLG2,FENLAND_METABOLON_HARMFLG3,PLCO_RCC_BROAD_HARMFLG,SHANGHAI_BRAINSHAKE_HARMFLG,SHANGHAI_CHD_METABOLON_HARMFLG,TWINSUK_BIOHARMFLG_V3,TWINSUK_BIOHARMFLG_V41,TWINSUK_BIOHARMFLG_V42,TWINSUK_HARMFLG_V3,TWINSUK_HARMFLG_V41,TWINSUK_HARMFLG_V42,TWINSUK_HARMFLG_V43,BRAINSHAKE_HARMFLG,UCLEB_NMR_HARMFLG,HCI_WCMC_HARMFLG,NCI_METABOLON_HARMFLG,SOURCE_DATE,SOURCE_STUDY,SOURCE_FILE,RETIRED_ID_LIST,RETIRED_FLAG,N_RETIRED,RETIRED_TYPE,RET_COMM,METSUM_ONLY
HMDB01292,0,0,1,1-Deoxy-D-xylulose,1-Deoxy-D-xylulose,,1-DEOXY-D-XYLULOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12444984,,,,,HMDB0001292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C5H10O4/c6-1-4-5(8)3(7)2-9-4/h3-8H,1-2H2/t3-,4+,5+/m1/s1",,KZVAAIRBJJYZOW-WISUUJSJSA-N,,,,17216098,,,C06257,,,,,,,,,,,,,,,,Organooxygen compounds,Pentoses,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,,,,,,,,,,,,,,,,,,,,,,,,1-deoxy-d-xylulose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB01213,0,0,1,1-Deoxy-D-xylulose 5-phosphate,1-Deoxy-D-xylulose 5-phosphate,,1-DEOXY-D-XYLULOSE5-PHOSPHATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443201,,,,,HMDB0001213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190079-18-6,,,,,"InChI=1S/C5H11O7P/c1-3(6)5(8)4(7)2-12-13(9,10)11/h4-5,7-8H,2H2,1H3,(H2,9,10,11)/t4-,5-/m1/s1",,AJPADPZSRRUGHI-RFZPGFLSSA-N,,16493,,391473,,,C11437,,,,,,,,,,,,,,,,Organooxygen compounds,Pentose phosphates,Organic compounds,Carbohydrates and carbohydrate conjugates,Organic oxygen compounds,,,,,,,,,,,,,,,,,,,,,,,,1-deoxy-d-xylulose 5-phosphate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
CHEM100001552,0,13,8,"LysoPC(20:3(8Z,11Z,14Z))","LysoPC(20:3(8Z,11Z,14Z))",1-eicosatrienoylglycerophosphocholine (20:3) or 1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,1-DIHOMO-LINOLENOYL-GPC(20:3N3OR6),1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,1-EICOSATRIENOYLGLYCEROPHOSPHOCHOLINE(20:3),1-eicosatrienoylglycerophosphocholine (20:3)*,1-EICOSATRIENOYLGLYCEROPHOSPHOCHOLINE(20:3)OR1-DIHOMO-LINOLENOYL-GPC(20:3N3OR6)*,1-eicosatrienoylglycerophosphocholine*,,,,,,,,,,,,,,,,,,,,,,,,,,,,100001552,,33821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52924055,,,,,HMDB0010394,,,_1_DIHOMO_LINOLENOYL_GPC__20_,_1_EICOSATRIENOYLGLYCEROPHOSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C28H52NO7P/c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-28(31)34-25-27(30)26-36-37(32,33)35-24-23-29(2,3)4/h9-10,12-13,15-16,27,30H,5-8,11,14,17-26H2,1-4H3/b10-9-,13-12-,16-15-/t27-/m1",,BBNHCUBQEQJHIG-FZZJNMCHSA-N,,,,21403156,,,C04230,,,,LIPID,,,,,LIPID,LYSOLIPID,,,,,,Glycerophospholipids,1-acyl-sn-glycero-3-phosphocholines,Organic compounds,Glycerophosphocholines,Lipids and lipid-like molecules,,,,,,LPC(20:3),,,LIPID,LIPID,,1-eicosatrienoylglycerophosphocholine*,1-eicosatrienoylglycerophosphocholine (20:3)*,,,,,,,1-eicosatrienoyl-GPC (20:3)*,,,,,1-eicosatrienoylglycerophosphocholine*,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,1-dihomo-linolenoyl-GPC (20:3n3 or 6)*,,M33821,M33821,,,,,,,,,,,,,,_1_eicosatrienoylglycerophosp,_1_eicosatrienoylglycerophosp,_1_eicosatrienoylglycerophosp,_1_eicosatrienoylglycerophosp,_1_eicosatrienoylglycerophosp,,,,,,,,,m33821,,,,,,,,,m33821,1_dihomo_linolenoyl_gpc__20_3n3_or_6__,logm18,,_1_eicosatrienoylglycerophosp,_1_eicosatrienoylglycerophosp,,eicosatrienoylglycerophosphocholine203_std,,,,,,,,m_29,,,,,,,,,,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
CHEM100006121,0,8,4,"1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)",,"1-dihomo-linolenylglycerol (20:3) or 1-dihomo-linolenylglycerol (alpha, gamma)",1-DIHOMO-LINOLENYLGLYCEROL(20:3),"1-DIHOMO-LINOLENYLGLYCEROL(20:3)OR1-DIHOMO-LINOLENYLGLYCEROL(ALPHA,GAMMA)","1-DIHOMO-LINOLENYLGLYCEROL(ALPHA,GAMMA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100006121,,48341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_1_DIHOMO_LINOLENYLGLYCEROL__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIPID,,,,,LIPID,MONOACYLGLYCEROL,,,,,,,,,,,,,,,,MG(20:3),Monoradyglycerols,Monoacylglycerols,Monoradyglycerols,Monoacylglycerols,,,"1-dihomo-linolenylglycerol (alpha, gamma)",,,,,,,"1-dihomo-linolenylglycerol (alpha, gamma)",,,,,,,1-dihomo-linolenylglycerol (20:3),,,M48341,,,,,,,,,_1_DIHOMO_LINOLENYLGLYCEROL__,,,_1-dihomo-linolenylglycerol (20:3),,,,,,,,1-dihomo-linolenylglycerol (,,,,,1-dihomo-linolenylglycerol (20:3),,,,,,metmss48341,,,,,m48341,,,,,,_1_dihomo_linolenylglycerol__,,,,,,,,,,,,,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
CHEM100001483,0,0,0,1-dihomo-linoleoylglycerol (20:2),,1-dihomo-linoleoylglycerol (20:2),1-DIHOMO-LINOLEOYLGLYCEROL(20:2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100001483,,35103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_1_DIHOMO_LINOLEOYLGLYCEROL__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIPID,,,,,"FATTYACID,KETO",,,,,,,,,,,,,,,,,MG(20:2),Monoradylglycerols,Monoacylglycerols,Monoradylglycerols,Monoacylglycerols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,1
HMDB11587,0,9,4,"MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)","MG(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0/0:0)",1-docosahexaenoylglycerol (1-monodocosahexaenoin),1-DOCOSAHEXAENOYLGLYCEROL,1-DOCOSAHEXAENOYLGLYCEROL(1-MONODOCOSAHEXAENOIN),1-docosahexaenoylglycerol (22:6),1-MONODOCOSAHEXAENOIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100001481,,35153,52402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53480995,,,,,HMDB0011587,,,_1_DOCOSAHEXAENOYLGLYCEROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C25H38O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-25(28)29-23-24(27)22-26/h3-4,6-7,9-10,12-13,15-16,18-19,24,26-27H,2,5,8,11,14,17,20-23H2,1H3/b4-3-,7-6-,10-9-,13-12-,16-15-,19-",,JWPHORDRFVRZPP-PJEZTNATSA-N,,,,10477810,24765805,,,,,,LIPID,,,,,LIPID,MONOACYLGLYCEROL,,,,,,Glycerolipids,1-monoacylglycerols,Organic compounds,Monoradylglycerols,Lipids and lipid-like molecules,,,,,,MG(22:6),,,LIPID,LIPID,,,1-docosahexaenoylglycerol,,,,,,,1-docosahexaenoylglycerol (22:6),,,,,,,1-docosahexaenoylglycerol (22:6),,,M35153,,,,,,,,,_1_DOCOSAHEXAENOYLGLYCEROL,,,_1-docosahexaenoylglycerol (22:6),_1_docosahexaenoylglycerol,,,,,,,1-docosahexaenoylglycerol,,,,,1-docosahexaenoylglycerol (22:6),,,,,,metmss35153,,,,,m35153,,,,,,_1_docosahexaenoylglycerol,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
CHEM100005673,0,1,4,1-DOCOSAPENTAENOYL-GPC(22:5N6)*,,,1-DOCOSAPENTAENOYL-GPC(22:5N6)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100005673,,45675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIPID,,,,,LYSOLIPID,,,,,,,,,,,,,,,,,LPC(22:5),,,LIPID,LYSOLIPID,,,1-docosapentaenoylglycerophosphocholine (22:5n6)*,,,,,,,1-docosapentaenoyl-GPC (22:5n6)*,,,,,,,1-docosapentaenoyl-GPC (22:5n6)*,,,M45675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m45675,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,,pre-existing,pre-existing,,,,,,0
HMDB11580,0,0,0,"MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)","MG(20:5(5Z,8Z,11Z,14Z,17Z)/0:0/0:0)",1-eicosapentaenoylglycerol (20:5)*,1-EICOSAPENTAENOYLGLYCEROL(20:5)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100009403,,53220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53480988,,,,,HMDB0011580,,,_1_EICOSAPENTAENOYLGLYCEROL__,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"InChI=1S/C23H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-23(26)27-21-22(25)20-24/h3-4,6-7,9-10,12-13,15-16,22,24-25H,2,5,8,11,14,17-21H2,1H3/b4-3-,7-6-,10-9-,13-12-,16-15-/t22-/m0/s1",,DFRRSBYSSXKROX-GABUGCEHSA-N,,,,24765798,,,,,,,LIPID,,,,,MONOACYLGLYCEROL,,,,,,,Glycerolipids,Monoacylglycerols,Organic compounds,Monoradylglycerols,Lipids and lipid-like molecules,,,,,,MG(20:5),Monoradylglycerols,Monoacylglycerols,Monoradylglycerols,Monoacylglycerols,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,1
CHEM100005376,0,4,0,1-eicosenoylglycerophosphoethanolamine (20:1n9)*,,1-eicosenoylglycerophosphoethanolamine (20:1n9)*,1-EICOSENOYLGLYCEROPHOSPHOETHANOLAMINE(20:1N9)*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100005376,,44628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_1_EICOSENOYLGLYCEROPHOSPHOET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIPID,,,,,LYSOLIPID,,,,,,,,,,,,,,,,,LPE(20:1),Glycerophosphoethanolamines,Monoacylglycerophosphoethanolamines,Glycerophosphoethanolamines,Monoacylglycerophosphoethanolamines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,_1_eicosenoylglycerophosphoet,,_1_eicosenoylglycerophosphoet,,,,,,,,,,,,,,,,,,,,,,,,_1_eicosenoylglycerophosphoet,,,,,,,,,,m_32,,,,,,,,,,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
HMDB11569,0,15,3,"MG(18:3(6Z,9Z,12Z)/0:0/0:0)","MG(18:3(6Z,9Z,12Z)/0:0/0:0)",1-linolenoylglycerol  or 1-gamma-linolenoylglycerol or 1-linolenoylglycerol (18:3),1-GAMMA-LINOLENOYLGLYCEROL,1-LINOLENOYLGLYCEROL,1-LINOLENOYLGLYCEROL(18:3),1-LINOLENOYLGLYCEROLOR1-GAMMA-LINOLENOYLGLYCEROLOR1-LINOLENOYLGLYCEROL(18:3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100001435,,34393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53480978,,,,,HMDB0011569,,,_1_GAMMA_LINOLENOYLGLYCEROL,_1_LINOLENOYLGLYCEROL,_1_LINOLENOYLGLYCEROL__18_3_,,,,,,,,,,,,,,,,,,,,,,,,,,124151-74-2,,,,,"InChI=1S/C21H36O4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-21(24)25-19-20(23)18-22/h6-7,9-10,12-13,20,22-23H,2-5,8,11,14-19H2,1H3/b7-6-,10-9-,13-12-/t20-/m0/s1",,XQBHBEXBUZDCRY-FFXVNFNPSA-N,,,,21403134,24765788,,,,,,LIPID,,,,,LIPID,MONOACYLGLYCEROL,,,,,,Fatty Acyls,Lineolic acids and derivatives,Organic compounds,Lineolic acids and derivatives,Lipids and lipid-like molecules,,,,,,MG(18:3),Monoradylglycerols,Monoacylglycerols,Monoradylglycerols,Monoacylglycerols,,,,,,,,,,1-linolenoylglycerol (18:3),,,,,,,1-linolenoylglycerol (18:3),,,M34393,,,,,,,,,_1_LINOLENOYLGLYCEROL,,,_1-linolenoylglycerol (18:3),_1_linolenoylglycerol,,_1_linolenoylglycerol,,_1_linolenoylglycerol,_1_gamma_linolenoylglycerol,,1-linolenoylglycerol (18:3),,,,,1-linolenoylglycerol (18:3),,,,,,metmss34393,,,,,m34393,1_linolenoylglycerol__18_3_,,,_1_linolenoylglycerol,_1_linolenoylglycerol,_1_linolenoylglycerol,,,,,,,,,,,,,,,,,,,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,,pre-existing,pre-existing,,,,,,0
